id,frequency
taip pat,132781
ne tik,60987
bet ir,46928
šiuo metu,40864
gali būti,37519
daugiau nei,32224
be to,30550
tai yra,29591
dėl to,28766
tai kad,26223
apie tai,25571
kol kas,24696
kaip ir,24046
kartu su,23821
kad tai,22174
tuo metu,22136
vis dėlto,19840
sakė kad,19801
turi būti,18895
po to,18192
o ne,18174
iki šiol,17101
kad jis,16935
manau kad,16899
šiek tiek,16608
tai buvo,16607
vis dar,16604
šių metų,16344
ir tai,16341
vienas iš,15150
iš viso,14922
pirmą kartą,14880
sako kad,14824
to kad,14527
net ir,14361
iš tiesų,13992
yra labai,13839
teigė kad,13244
turėtų būti,13169
iš jų,12808
ir toliau,12720
kad ir,12594
tuo tarpu,12470
kad jie,12284
kai kurie,12195
europos sąjungos,12192
mln. eurų,11926
daugiau kaip,11841
teigia kad,11758
ir su,11644
ir jo,11552
ir į,11479
į lietuvą,11066
1 0,10886
ir dar,10855
ir taip,10719
taip ir,10664
tūkst. eurų,10201
kur kas,10185
ir kaip,10167
ir jų,10160
jav dolerių,9998
ir kitų,9935
užsienio reikalų,9745
šiais metais,9622
su savo,9596
iš eilės,9563
ir iš,9507
o tai,9463
yra ir,9325
tam kad,9296
iš pradžių,9287
į savo,9262
kad būtų,9258
iš esmės,9168
ir yra,9160
pareiškė kad,9100
iš tikrųjų,9092
rodo kad,8968
ir jos,8920
labai daug,8912
to kai,8893
viena iš,8881
kad ji,8787
iš karto,8735
tai kas,8685
per metus,8642
jis buvo,8486
ir dėl,8447
už tai,8394
v. putinas,8265
mano kad,8244
tuo pačiu,8185
1 1,8125
tai ką,8088
vis tiek,8068
į priekį,8029
nes tai,7954
pasak jo,7743
ir lietuvos,7729
0 1,7693
iš lietuvos,7672
pranešė kad,7651
taip kad,7600
tai reiškia,7544
į tai,7544
ne kartą,7516
nuo to,7496
dar labiau,7471
buvo labai,7458
erių metų,7457
bent jau,7439
ir ne,7416
per daug,7409
visa tai,7382
6 4,7306
dar vienas,7303
2014 m.,7299
tarp jų,7273
reiškia kad,7271
ir buvo,7263
2015 m.,7236
6 3,7219
dar kartą,7084
todėl kad,7076
praėjusių metų,7074
paaiškėjo kad,7004
sakė jis,6930
su juo,6902
pastaruoju metu,6896
2 0,6895
ir po,6812
kad jo,6747
atk. kam.,6712
kad jos,6702
kad yra,6649
ir vėl,6612
jau yra,6594
ir net,6572
ir savo,6556
ir dabar,6506
ir kiti,6388
savo ruožtu,6341
jis yra,6315
tačiau tai,6288
6 7,6271
būtų galima,6270
ar tai,6258
tada kai,6216
jau buvo,6214
nurodė kad,6201
kad šis,6186
nors ir,6167
kas yra,6158
2 1,6155
vidaus reikalų,6132
žemės ūkio,6130
o gal,6125
vilniaus miesto,6118
tai ne,6105
anot jo,6091
primena kad,6043
v. putino,6028
kad per,5991
ir apie,5990
ir daugiau,5987
visų pirma,5959
0 0,5914
kad iš,5895
kad į,5887
policijos pareigūnai,5856
mažiau nei,5854
su tuo,5851
tai ir,5849
