Class;Text
POS;2019-2020 finansiniais metais „Dotnuvos Baltic“ pajamos mažėjo 0,9 proc. iki 68,9 mln. eurų, o pelnas augo 11 proc. iki 7,2 mln. eurų. Daugiausia įtakos tam turėjo išaugusi prekyba nauja žemės ūkio technika Lietuvoje, pranešė bendrovė.
POS;Anot jo, įtakos rezultatams turėjo ir suvaldyta pirmosios pandemijos bangos įtaka.
POS;šiemet, po dvejų gana prastų metų, derliaus prognozės buvo kur kas optimistiškesnės, tad mūsų klientai turėjo daugiau galimybių investuoti į naują techniką. Juos tam paskatino ir europinės programos žemės ūkio technikos atnaujinimui“, – pranešime sakė įmonės vadovas Jonas Bakšys.
POS;žemės ūkio technikos aptarnavimo veiklos pajamas bendrovė augino 25 procentais. Pardavimai iš sėklų veiklos mažėjo 2 proc., tai lėmė vidutiniškai 5,5 proc. sumažėjusi kaina, kuriai įtakos turėjo pigesnė žaliava.
POS;Naujais finansiniais metais bendrovė koncentruosis į sėklų ruošimo pajėgumų didinimą – ji yra suplanavusi 1,3 mln. eurų investiciją į sandėlį, taip pat į įrangos ir technikos asortimento atnaujinimą, išmaniosios žemdirbystės ar išmaniąsias drenažo sistemas.
POS;Pasaulio akcijų biržose vakcinos lūkesčių pradžiuginti investuotojai grįžta skaičiuoti tebeaugančių COVID–19 atvejų skaičiaus. Gerėjančius rezultatus paskelbusi „Ignitis grupė“ vis dar neįtikina pirkėjų sugrįžti.
POS;Pasaulinė naujų orlaivių paklausa pandemijos pasekmes jus ne vienerius metus, kai kurie ekspertai prognozuoja, kad jai atsigauti prireiks ir dešimtmečio. Nepaisant to, „Boeing“ ką tik pagerino savo prognozes dėl pardavimų Kinijoje – dabar orlaivių gamintojas ateinančiam dvidešimtmečiui šioje rinkoje prognozuoja parduosiantis net daugiau naujų lėktuvų nei prognozavo prieš pandemiją.
POS;Optimizmą dėl Kinijos „Boeing“ grindžia prognozėmis, kad čia keleivinių reisų apimtys atsigaus, o paskui ir augs greičiau nei likusiame pasaulyje – po 5,5% kasmet ateinančius 20 metų, palyginus su 4% prognozuojamu tarptautiniu augimu.
NEU;NASA penktadienį pranešė, kad pilotuojamas bendrovės „SpaceX“ erdvėlaivio skrydis į Tarptautinę kosminę stotį (TKS), turėjęs įvykti šeštadienį, atidedamas parai dėl nepalankių orų.
NEG;Pranešama, kad „laišką L. Kukuraičiui praėjusių metų gruodį parašė Vaikų išlaikymo fondo Finansų ir apskaitos skyriaus vedėja Viktorija Kaplan-Baranova bei Išmokų skyriaus vedėja Regina Dagienė“, kurios „nuogąstavo, kad fondas gali bendrovei „Algoritmų sistemos“ sumokėti beveik 50 tūkst. eurų už informacinės sistemos įdiegimą, nors ši neveikia“.
NEG;Vienas įspūdingiausių firmos projektų – taip vadinamos lietuvių šneka valdomos paslaugos (LIEPA). Su šiomis, beveik niekieno nenaudojamomis nuostabiomis paslaugomis (tartuvu, naršytuvu, pažintuvu, valdytuvu, ieškotuvu, pagalbininku, lietuvių šnekos sintezatoriumi akliesiems) ypač gerai pritaikytai ir operacinei sistemai Mac'OS, išsamiai galite susipažinti čIA.
NEG;Nepriklausomas portalas delfi.lt pranešė, kad Vaikų išlaikymo fondo administracijos darbuotojos, kurios informavo Socialinių reikalų ir darbo ministrą Liną Kukuraitį apie galimą aferą, firmai „Algoritmų sistemos“ vykdant informacinės sistemos įdiegimą, susilaukė nemalonumų.
NEG;Kaip per „Nasdaq“ Vilniaus biržą pranešė grupė, per spalio mėnesį bendrovė aptarnavo 3,3 tūkst. klientų – 90 proc. mažiau nei atitinkamu laikotarpiu pernai. Iš viso per sausio-spalio mėnesius bendrovė aptarnavo 47,4 tūkst. klientų, 82 proc. mažiau per pernai.
NEU;Anot jo, „Eglės“ sanatorija pastarąjį pusmetį darbuotojas laikė prastovose ir tikėjosi, jog pandemija baigsis, tačiau, prasidėjus antrajai koronaviruso bangai, naujų rezervacijų skaičius sumažėjo 90 proc.
NEG;Liepą Slovėnijoje sulaikytas „Arvi“ savininkas Vidmantas Kučinskas šeštadienio naktį buvo grąžintas į Lietuvą, BNS patvirtino ikiteisminiam tyrimui, kuriame verslininkas turi įtariamojo statusą, vadovaujantis prokuroras Zenas Leonavičius.
NEG;šiemet liepą „Bolt Food“ kurjeriai buvo paskelbę streiką dėl sumažintų pristatymo įkainių. Tą kartą streike dalyvavo 80-100 kurjerių, kurie atsijungė nuo platformos ir nepriiminėjo užsakymų per pietus.
NEG;200 bendrovės „Bolt Food“ maisto kurjerių reikalauja didesnio užmokesčio ir stabilių darbo sąlygų – pirmadienį įsteigta „Kurjerių asociacija“ bendrovės vadovui Andriui Pacevičiui įteikė peticiją.
NEG;Kaip žinia, sveikatos apsaugos ministras A. Veryga yra glaudžiai susijęs su LSMU ir jo valdomomis Kauno klinikomis. šiose įstaigose ministras dirbo iki 2016 m., LSMU Kauno klinikose iki šiol dirba jo sutuoktinė. Per pastaruosius ketverius metus A. Veryga net kelis kartus Vyriausiosios tarnybinės etikos komisijos buvo pripažintas patekęs į interesų konfliktą, kaip ministras priimdamas LSMU palankius sprendimus. šiuos etikos sargų sprendimus yra patvirtinę teismai.
NEG;Tačiau 10 metų trukusiame teismų maratone tiek „lenkų“, tiek „atkatų“ dalybose minimo Jaroslavo linija taip ir liko neišnagrinėta. LRT Tyrimų skyrius pasidomėjo, koks buvo „lenkams“ atstovavusių organizacijų ir byloje minimo Jaroslavo vaidmuo istorijoje, kurią teisėsaugininkai tuo metu vadino didžiausia Lietuvoje politinės korupcijos byla. Joje L. Karnila, V. Petkevičius bei S. Raščiauskas buvo nuteisti laisvės atėmimo bausmėmis, tačiau už grotų taip ir nesėdo. Realios bausmės paskirtos kyšius mokėjusioms penkioms bendrovėms bei 11 verslininkų.
NEG;ši suma, kaip rodė teisėsaugininkų informacija, tebuvo menka dalis nuo „atkato“, kurio Trakų vadovybė reikalavo iš potencialių savivaldybės žinioje buvusio Kudrionių poilsio komplekso pirkėjų. 2005 m. pradėtos pardavinėti bazės vaizdingoje vietoje pradinė kaina buvo 2,7 mln. litų (783 tūkst. eurų). Tačiau 2007 m. pirkėjams per tarpininkus įvardyta kita suma – 3 mln. litų (870 tūkst. eurų).
NEG;„Trakų paslaugų“ valdyba teigiamą sprendimą dėl Kudrionių komplekso pardavimo priėmė 2008-ųjų vasario 8 d. šiai valdybai, be kitų asmenų, priklausė ir administracijos direktorius L. Karnila bei jo pavaduotoja I. Narkevič. Po kelių dienų į L. Karnilos kabinetą tarpininkas atnešė 10 tūkst. litų, su kuriais valdininkas ir buvo sulaikytas. Kaip liudininkė apklausta I. Narkevič tvirtino nieko nežinanti apie L. Karnilos gautas ar prašytas pinigų sumas.
NEG;šiuo metu atostogaujantį susisiekimo ministrą J. Narkevičių LRT Tyrimų skyrius kalbino telefonu. Politikas, klausiamas apie Trakų politinės korupcijos byloje teisėsaugininkų surinktą medžiagą, kuriame minimas Jaroslavas, nesakė, kad šis vardas negali būti siejamas su juo. Jis tik neigė telefonu teiravęsis, ar Trakuose tuo metu aktyviai veikusi bendrovė „Altitudė“ bandė dalyvauti privatizuojant Kudrionių kompleksą.
POS;Pozityvios nuotaikos vyravo ir Baltijos šalių biržose. OMXB indeksas pirmadienį pakilo 0,63 proc., didžiausią apyvartą (702,5 tūkst. eurų) pasiekė „Ignitis grupė“, kurios akcijos pabrango 0,21 proc. (iki 19,54 euro už akciją).
POS;Kaina, mokama stambiems Lietuvos pieno ūkiams, viršijo žalio pieno kainų vidurkį Europos Sąjungoje.
POS;"„Naujoji sistema, priešingai nei naudota anksčiau, ne tik apjungia visas institucijas ir projektų vykdytojus, tačiau ir netiesiogiai prisideda prie šalies saugumo stiprinimo, kovos su prekyba narkotikais, kibernetinio nusikalstamumo, integruoto sienų valdymo, antikorupcinių priemonių ir kitų tikslų įgyvendinimo. Sistema bus naudojama projektų stebėsenai, leis optimizuoti „Vidaus saugumo fondo"" procesus ir efektyviau administruoti lėšas"", – sako Mindaugas Laurynaitis, Všį Centrinės projektų valdymo agentūros Tarptautinių programų valdymo departamento Išorės sienų ir Vidaus saugumo fondų skyriaus vyresnysis projektų vadovas."
POS;"Informacinės sistemos sukūrimo, įdiegimo ir testavimo procesas užtruko 5 mėnesius. Pasak kūrėjų, toks sprendimas turės įtakos ir valstybės saugumo projektų įgyvendinimui laiku, ir institucijų veiklai. „Informacinė sistema suteiks naujų galimybių – ne tik apjungs visus fondo dalyvius, tačiau palengvins ir jo administravimo veiklas: leis centralizuotai kaupti duomenis, analizuoti ir stebėti situaciją realiu laiku, vykdyti duomenų paiešką bei greitai gauti informaciją apie vykstančius projektus ir susijusias veiklas"", – sako Artūras Talutis, UAB „Algoritmų sistemos"" projektų vadovas."
POS;"UAB „Algoritmų sistemos"" – nuo 2001 m. veikianti bendrovė kuria aukštos kokybės, efektyvias ir patikimas informacines sistemas didelėms ir vidutinio dydžio organizacijoms tokiose srityse kaip finansai, socialinė apsauga, el. valdžia, el. sveikata ir kt."
POS;Vis dėlto, pasirinkimą pastatą statyti patiems lėmė kelios priežastys — „Elsis“ grupės veiklos plečiasi, daugėja grupei priklausančių įmonių ir darbuotojų, auga poreikis šiuolaikiškoms, kokybiškoms biuro ir gamybos paskirties patalpoms. Mūsų įmonių vystomos veiklos — specifinės, reikalaujančios patalpų, kurių rinkoje rasti sunku, joms taikomi ir specialūs saugumo reikalavimai. Taip pat patys geriausiai žinome mūsų įmonėse nusistovėjusias darbo ir poilsio organizavimo tradicijas, reikalavimus darbo vietoms.
POS;„Tai bus tarsi mūsų gyvas darbo pavyzdys, kai klientas atvykęs galės susipažinti, kaip veikia „išmanūs namai“. Vis dėlto, noriu akcentuoti ne tik išmanumą, bet ir efektyvumą, t.y. racionalų investavimą, siekiant sukurti patogias darbuotojams, atitinkančias šiuolaikiškus reikalavimus, darbo sąlygas. Norime, kad mūsų pastatas būtų modernus, ekologiškas ir energetiškai bei eksploatacijos prasme efektyvus“, – sako A. Gedvila.
POS;„Stengėmės įgyvendinti skandinavišką požiūrį — paprastai, bet funkcionaliai ir patogiai. Tai — nelengvas uždavinys, kai reikia suderinti kelias tarpusavyje prieštaraujančias sąlygas. Vis dėlto, pagrindinius sprendimus galėčiau reziumuoti taip: šildymo sistema įrengta kombinuota — grindinis ir radiatorinis šildymas, o šilumos šaltinis — dujų kondensacinis–kaskadinis katilas. Temperatūra kiekvienoje patalpoje reguliuojama atskirai. Vėdinimo sistema — rekuperacinė su galimybe reguliuoti paduodamo oro temperatūrą. Apšvietimui pasirinkti LED šviestuvai, o jų išdėstymas priderintas prie darbo vietų naudojant kompiuterinę simuliaciją.
POS;š. m. birželio 15 d. Europos gynybos agentūra (EDA) skyrė daugiau nei 8 mln. eurų finansavimą PEONEER projektui. Elsis PRO ir devynių partnerių konsorciumas iš 8 Europos Sąjungos šalių kurs dirbtinio intelekto technologijomis paremtą naujos kartos erdvinės stebėsenos ir žvalgybos platformos prototipą.
